NT,NR,NTR,g2(0)
133939,3984,35,1.6397652219012007
133407,4015,28,1.306874464934089
133540,4005,33,1.5425528632866248
133334,4065,28,1.2915064575968633
133595,4107,47,2.1415240669076634
132738,4089,47,2.1648384173264663
134189,4156,44,1.9724237798251185
133411,4133,40,1.8136060472575355
133670,4011,34,1.5853761324458286
134295,4132,36,1.6218935737224696
133322,4136,27,1.2241127536459555
133376,4131,35,1.5880902134555865
133188,4186,40,1.7936416436868885
133282,4076,37,1.7026918464688394
133847,4169,37,1.6576819023230636
132657,4171,32,1.4458379689835477
133627,4116,38,1.7272453048981775
133656,4003,38,1.7756180679777172
133538,4106,44,2.006175270107973
134051,4063,41,1.8819452512455939
132969,4109,33,1.5099668215264848
133818,3982,35,1.6420722526954552
132824,4110,42,1.9234058043331363
133725,4075,38,1.7433451811989398
132736,4066,32,1.4822924162125317
133615,3974,43,2.0245354486834786
133339,4071,33,1.5198322383752632
133350,4018,31,1.4464344271550427
133181,4082,33,1.5175348614822324
132718,4049,34,1.5817626650275787
133491,4115,36,1.6384028073922876
132985,4137,31,1.408683812275378
133031,4099,44,2.017260158389876
133347,4046,38,1.7608180332054768
133365,4060,34,1.5698242110848426
133898,4170,45,2.0148484119394654
133946,4128,36,1.6276951593474496
133105,4189,36,1.614127286795778
132845,4092,40,1.8395820440162682
133238,4116,37,1.68670161847937
133446,4112,43,1.9590692946172545
134081,4068,40,1.8333771547140854
133511,4125,34,1.543397967662635
133624,4070,34,1.5629318748518892
133551,4126,45,2.0416258436773806
132841,4164,37,1.6722410324330081
133422,4075,40,1.839267684535796
133725,4046,38,1.7558407348951257
133669,4164,40,1.7966297224259542
133469,4180,37,1.65800197820249
